"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"129","Armenia","13868000000","10572299425","4666.2714","2971.9660"
"130","Bahamas","13710000000","11261800000","34230.8422","400.5160"
"131","North Macedonia","13700000000","10745782586","6582.4118","2081.3040"
"132","Guinea","13603000000","8476136811","981.0546","13865.6910"
"133","Madagascar","13542000000","11222263845","464.1156","29178.0770"
"134","Moldova","12793000000","6772647958","3187.7535","4013.1710"
"135","Chad","12547000000","11267295771","720.5296","17413.5800"
"136","Nicaragua","12459000000","13230214875","1837.8546","6779.1000"
"137","Equatorial Guinea","12263000000","10677940568","8193.5668","1496.6620"
"138","Benin","12129000000","8893638002","948.7102","12784.7260"
"139","Republic of the Congo","11367000000","7778081883","1960.5696","5797.8050"
"140","Rwanda","11062000000","8473784827","813.3546","13600.4640"
"141","Niger","10628000000","7528285819","407.4582","26083.6600"
"142","Haiti","9648000000","7647347306","826.0074","11680.2830"
"143","Kyrgyzstan","8781000000","6551291140","1305.0901","6728.2710"
"144","Somalia","8341000000.0000","1318057519","495.2560","16841.7950"
"145","Eritrea","8116000000","5413804303","2216.1276","3662.2440"
"146","Malawi","7861000000","5318197658","389.5279","20180.8390"
"147","Tajikistan","7838000000","6951679338","787.1482","9957.4640"
"148","Maldives","6213000000","4224207488","11484.6068","540.9850"
"149","Togo","6132000000","4449262345","706.3835","8680.8370"
"150","Montenegro","5740000000","4373958354","9140.8552","627.9500"
"151","Mauritania","5697000000","4667119320","1162.1832","4901.9810"
"152","Fiji","5671000000","4671118364","6235.5272","909.4660"
"153","Barbados","5339000000","4552793288","18536.7141","288.0230"
"154","Eswatini","4812000000","4007002048","4061.3867","1184.8170"
"155","Guyana","4609000000","3436626633","5804.4569","794.0450"
"156","Sierra Leone","4221000000","3674756785","508.1602","8306.4360"
"157","Suriname","3919000000","3278445033","6566.3479","596.8310"
"158","Burundi","3714000000","2873699606","294.1819","12624.8400"
"159","Timor-Leste","3413000000","2703285752","2492.2796","1369.4290"
"160","Liberia","3217000000","2756817825","606.3957","5305.1170"
"161","Aruba","2952000000","2667039106","27432.6497","107.6090"
"162","Bhutan","2939000000","2212642587","3729.9747","787.9410"
"163","Lesotho","2892000000","2241017076","1329.2280","2175.6990"
"164","South Sudan","2796000000","6534451826","240.6505","11618.5110"
"165","Djibouti","2599000000","1891520369","2557.8267","1016.0970"
"166","Central African Republic","2485000000","1810388740","495.3477","5016.6780"
"167","Cape Verde","2208000000","1638928099","3889.5289","567.6780"
"168","Belize","2071000000.0000","1741100000","5024.3820","412.1900"
"169","Saint Lucia","2069000000","1397066906","11176.9568","185.1130"
"170","Gambia","1870000000","985831536","730.9022","2558.4820"
"171","Antigua and Barbuda","1809000000","1460157909","18179.2602","99.5090"
"172","Seychelles","1739000000","1433826317","17490.3949","99.4260"
"173","San Marino","1672000000","1590761265","49053.8360","34.0850"
"174","Guinea-Bissau","1669000000","1122643236","808.8721","2063.3670"
"175","Solomon Islands","1607000000","1133967215","2228.3574","721.1590"
"176","Grenada","1330000000","1016208148","11720.6433","113.4750"
"177","Saint Kitts and Nevis","1118000000","909854620","20753.2810","53.8710"
"178","Vanuatu","994000000","837519790","3088.5679","321.8320"
"179","Samoa","960000000","822233281","4746.8589","202.2390"
"180","Saint Vincent and the Grenadines","903000000","765318745","8094.9521","111.5510"
"181","Comoros","773000000","1149802573","851.8667","907.4190"
"182","Dominica","590000000","581484032","8155.4794","72.3440"
"183","Sao Tome and Principe","527000000","342781695","2314.6623","227.6790"
"184","Tonga","512000000","401460313","4751.7842","107.7490"
"185","Micronesia","389000000","329895643","3310.9483","117.4890"
"186","Palau","324000000","310248000","17769.9775","18.2330"
"187","Marshall Islands","228000000","183000000","3796.3934","60.0570"
"188","Kiribati","196000000","173655146","1588.0861","123.4190"
"189","Nauru","117000000","103469824","10730.9915","10.9030"
"190","Tuvalu","53000000","36697185","4392.5079","12.0660"
"191","Andorra","0","2858406626","36900.2831","77.4630"
"192","Bermuda","0","6127341000","98925.4105","61.9390"
"193","British Virgin Islands","0","971237110","31743.9244","30.5960"
"194","Cayman Islands","0","3844080626","57138.1100","67.2770"
"195","Cook Islands","0","290194195","16515.5196","17.5710"
"196","Cuba","0","89688700000","7933.0852","11305.6520"
"197","French Polynesia","0","5417934152","19066.2229","284.1640"
"198","Palestine","0","13397100000","2506.2197","5345.5410"
"199","Greenland","0","2282927882","40070.3470","56.9730"
"200","North Korea","0","16788601831","645.9470","25990.6790"
"201","Liechtenstein","0","6193677543","161348.3091","38.3870"
"202","Monaco","0","6468000877","162582.0294","39.7830"
"203","Montserrat","0","62051375","12497.7593","4.9650"
"204","Curacao","0","3121449966","18857.4205","165.5290"
"205","Sint Maarten","0","1072067039","24384.0022","43.9660"
"206","New Caledonia","0","9445714851","32468.9853","290.9150"
"207","Pakistan","0","282506007859","1231.0220","229488.9940"
"208","Anguilla","0","337520470","22161.5542","15.2300"
"209","Sudan","0","82887395895","1802.2126","45992.0200"
"210","Syria","0","22163075121","1144.5026","19364.8090"
"211","Turks and Caicos Islands","0","917550492","23088.2588","39.7410"
